Ticker, Code, Name
AA_,GOOG/AMEX_AA_,Alcoa Inc 
AADR,GOOG/AMEX_AADR,WCM/BNY Mellon Focused Growth ADR ETF 
AAU,GOOG/AMEX_AAU,Almaden Minerals Ltd. 
AAVX,GOOG/AMEX_AAVX,Daily 1-Mo S&P 500 VIX ETN UBS E-Tracs 
ABCS,GOOG/AMEX_ABCS,Claymore Exchange Traded Fund Trust 2 
ABI,GOOG/AMEX_ABI,Safety First Trust Series 2009-2 
ACCU,GOOG/AMEX_ACCU,Global Opportunities ETF Accuvest 
ACIM,GOOG/AMEX_ACIM,SPDR MSCI ACWI IMI 
ACU,GOOG/AMEX_ACU,Acme United Corporation 
ACWV,GOOG/AMEX_ACWV,All Country World Min Vol MSCI Ishares 
ACY,GOOG/AMEX_ACY,AeroCentury Corp. 
ADGE,GOOG/AMEX_ADGE,American DG Energy Inc 
ADK,GOOG/AMEX_ADK,AdCare Health Systems
ADZ,GOOG/AMEX_ADZ,DB Agriculture Short ETN DB Agriculture Short ETN 
AE,GOOG/AMEX_AE,Adams Resources &amp; Energy Inc 
AFK,GOOG/AMEX_AFK,Market Vectors Africa 
AGA,GOOG/AMEX_AGA,DB Agriculture Short ETN DB Agriculture Double Short ETN 
AGEM,GOOG/AMEX_AGEM,Dow Jones Emerging Markets Composite ETF 
AGF,GOOG/AMEX_AGF,DB Agriculture Long ETN DB Agriculture Long ETN 
AGG,GOOG/AMEX_AGG,iShares Barclays Aggregate Bond Fund 
AGLS,GOOG/AMEX_AGLS,Global Long Short ETF Accuvest 
AGOL,GOOG/AMEX_AGOL,ETFS Asian Gold Trust 
AGQ,GOOG/AMEX_AGQ,ProShares Ultra Silver 
AGRG,GOOG/AMEX_AGRG,Russell Aggressive Growth ETF 
AGX,GOOG/AMEX_AGX,Argan
AGZ,GOOG/AMEX_AGZ,iShares Barclays Agency Bond Fund 
AHB,GOOG/AMEX_AHB,Safety First Trust Principal-Protected Trust Certificates Linked to a Global Index Basket 
AHY,GOOG/AMEX_AHY,Safety First Trust Principal-Protected Trust Certificates Linked to the S&amp;P 500 Index 
AIA,GOOG/AMEX_AIA,iShares S&amp;P Asia 50 Index Fund 
AIM,GOOG/AMEX_AIM,Aerosonic Corporation 
AJB,GOOG/AMEX_AJB,Safety First Trust Safety First Trust Certificate on S&amp;P 500 
AKE,GOOG/AMEX_AKE,Safety First Trust 
AKN,GOOG/AMEX_AKN,Akorn
ALD,GOOG/AMEX_ALD,Allied Capital Corporation 
ALFA,GOOG/AMEX_ALFA,Alphaclone Alternative Alpha Et 
ALN,GOOG/AMEX_ALN,American Lorain Corporation 
ALT,GOOG/AMEX_ALT,iShares Diversified Alternatives Trust 
ALUM,GOOG/AMEX_ALUM,G-X Aluminum ETF 
AMJ,GOOG/AMEX_AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN 
AMLP,GOOG/AMEX_AMLP,Alerian Mlp 
AMM,GOOG/AMEX_AMM,Safety First Trust Principal-Protected Trust Certificates Linked to the S&amp;P 500 Index 
AMPS,GOOG/AMEX_AMPS,Utilities Sector Bond Ishares 
AMS,GOOG/AMEX_AMS,American Shared Hospital Services 
AMU,GOOG/AMEX_AMU,Etracs Alerian MLP Index ETN 
AND,GOOG/AMEX_AND,Global X Funds 
ANGL,GOOG/AMEX_ANGL,Fallen Angel HY Bond ETF Market Vectors 
ANV,GOOG/AMEX_ANV,Allied Nevada Gold Corp. 
ANX,GOOG/AMEX_ANX,Adventrx Pharmaceuticals 
AOA,GOOG/AMEX_AOA,iShares S&amp;P Aggressive Allocation Fd ETF 
AOK,GOOG/AMEX_AOK,iShares S&amp;P Conservative Allocatn Fd ETF 
AOM,GOOG/AMEX_AOM,iShares S&amp;P Moderate Allocation Fund ETF 
AOR,GOOG/AMEX_AOR,iShares S&amp;P Growth Allocation Fund 
API,GOOG/AMEX_API,Advanced Photonix
APP,GOOG/AMEX_APP,American Apparel Inc. 
APT,GOOG/AMEX_APT,Alpha Pro Tech
APTS,GOOG/AMEX_APTS,Preferred Apartment Communities Inc. 
AQ,GOOG/AMEX_AQ,Acquity Group Limited American 
AQQ,GOOG/AMEX_AQQ,American Spectrum Realty
ARGT,GOOG/AMEX_ARGT,Global X Funds 
ASEA,GOOG/AMEX_ASEA,Global X Funds 
ASM,GOOG/AMEX_ASM,Avino Silver &amp; Gold Mines Ltd 
ATA,GOOG/AMEX_ATA,Safety First Trust Principal-Protected Certificates Linked to a U.S.-Europe-Japan Basket 
ATC,GOOG/AMEX_ATC,Cycle Country Accessories Corp. 
ATL,GOOG/AMEX_ATL,Anooraq Resources Corp. 
AUD,GOOG/AMEX_AUD,Pimco Australia Bond Index Exchange
AUMN,GOOG/AMEX_AUMN,Golden Minerals Co 
AUNZ,GOOG/AMEX_AUNZ,WisdomTree Dreyfus NZ Dollar Fund 
AUSE,GOOG/AMEX_AUSE,WisdomTree Pacific ex-Japan Eq Inc 
AVL,GOOG/AMEX_AVL,Avalon Rare Metals Inc 
AWX,GOOG/AMEX_AWX,Avalon Holdings Corp 
AXDI,GOOG/AMEX_AXDI,iShares Trust 
AXEN,GOOG/AMEX_AXEN,iShares Trust 
AXHE,GOOG/AMEX_AXHE,iShares Trust 
AXID,GOOG/AMEX_AXID,iShares Trust 
AXIT,GOOG/AMEX_AXIT,iShares Trust 
AXJL,GOOG/AMEX_AXJL,WisdomTree Pacific ex-Japan Ttl Div
AXK,GOOG/AMEX_AXK,Accelr8 Technology Corp. 
AXMT,GOOG/AMEX_AXMT,iShares Trust 
AXN,GOOG/AMEX_AXN,Aoxing Pharmaceutical Company
AXSL,GOOG/AMEX_AXSL,iShares Trust 
AXTE,GOOG/AMEX_AXTE,iShares Trust 
AXU,GOOG/AMEX_AXU,Alexco Resource Corp. 
AXUT,GOOG/AMEX_AXUT,iShares Trust 
AXX,GOOG/AMEX_AXX,Alderon Iron Ore Corp 
AYT,GOOG/AMEX_AYT,iPath GEMS Asia 8 ETN 
