Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume, Code, Name
AAU,2,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,63.65,,1.06,0.00%,12220,GOOG/AMEX_AAU,Almaden Minerals Ltd. 
ACU,3,Acme United Corp.,Consumer Goods,Housewares & Accessories,USA,47.01,12.39,14.74,0.00%,0,GOOG/AMEX_ACU,Acme United Corporation 
ACY,4,AeroCentury Corp.,Services,Rental & Leasing Services,USA,26.43,3.44,17.1,-0.18%,1002,GOOG/AMEX_ACY,AeroCentury Corp. 
ADGE,5,"American DG Energy, Inc.",Utilities,Electric Utilities,USA,78.92,,1.61,0.00%,0,GOOG/AMEX_ADGE,American DG Energy Inc 
ADK,6,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,USA,64.83,,4.45,1.14%,22501,GOOG/AMEX_ADK,AdCare Health Systems
AE,7,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,255.99,8.83,60.76,0.12%,3282,GOOG/AMEX_AE,Adams Resources &amp; Energy Inc 
ALN,10,American Lorain Corporation,Consumer Goods,Processed & Packaged Goods,China,27.69,1.57,0.8,0.00%,127553,GOOG/AMEX_ALN,American Lorain Corporation 
AMS,14,American Shared Hospital Services,Healthcare,Specialized Health Services,USA,12.35,,2.68,0.00%,0,GOOG/AMEX_AMS,American Shared Hospital Services 
ANV,16,Allied Nevada Gold Corp.,Basic Materials,Gold,USA,344.57,9.43,3.34,1.21%,544303,GOOG/AMEX_ANV,Allied Nevada Gold Corp. 
API,17,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits,USA,20.9,,0.66,-0.76%,5184,GOOG/AMEX_API,Advanced Photonix
APP,18,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,122.49,,1.09,-1.80%,194695,GOOG/AMEX_APP,American Apparel Inc. 
APT,19,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment,Canada,38.91,40.4,2.02,0.00%,1640,GOOG/AMEX_APT,Alpha Pro Tech
APTS,20,"Preferred Apartment Communities, Inc.",Financial,REIT - Residential,USA,64.93,,7.97,0.63%,4335,GOOG/AMEX_APTS,Preferred Apartment Communities Inc. 
AQQ,21,American Spectrum Realty Inc.,Financial,Property Management,USA,7.06,,2.04,2.98%,1394,GOOG/AMEX_AQQ,American Spectrum Realty
ASM,22,Avino Silver & Gold Mines Ltd.,Basic Materials,Industrial Metals & Minerals,Canada,32.1,39.0,1.17,0.00%,5215,GOOG/AMEX_ASM,Avino Silver &amp; Gold Mines Ltd 
ATL,23,Atlatsa Resources Corporation,Basic Materials,Industrial Metals & Minerals,South Africa,233.64,27.5,0.55,-0.91%,18000,GOOG/AMEX_ATL,Anooraq Resources Corp. 
AUMN,24,Golden Minerals Company,Basic Materials,Industrial Metals & Minerals,USA,20.14,,0.47,-0.04%,27952,GOOG/AMEX_AUMN,Golden Minerals Co 
AVL,25,Avalon Rare Metals Inc.,Basic Materials,Industrial Metals & Minerals,Canada,57.03,,0.56,1.93%,199827,GOOG/AMEX_AVL,Avalon Rare Metals Inc 
AWX,26,Avalon Holdings Corp.,Industrial Goods,Waste Management,USA,19.78,52.0,5.35,2.88%,804,GOOG/AMEX_AWX,Avalon Holdings Corp 
