"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",2361.75,,1018.38,1.33%,1136
2,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",63.65,,1.06,0.00%,12220
3,"ACU","Acme United Corp.","Consumer Goods","Housewares & Accessories","USA",47.01,12.39,14.74,0.00%,0
4,"ACY","AeroCentury Corp.","Services","Rental & Leasing Services","USA",26.43,3.44,17.10,-0.18%,1002
5,"ADGE","American DG Energy, Inc.","Utilities","Electric Utilities","USA",78.92,,1.61,0.00%,0
6,"ADK","AdCare Health Systems Inc.","Healthcare","Long-Term Care Facilities","USA",64.83,,4.45,1.14%,22501
7,"AE","Adams Resources & Energy Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",255.99,8.83,60.76,0.12%,3282
8,"AIRI","Air Industries Group","Industrial Goods","Aerospace/Defense Products & Services","USA",52.26,31.55,9.15,0.00%,0
9,"AKG","Asanko Gold Inc.","Basic Materials","Gold","Canada",162.45,,1.80,-5.76%,82896
10,"ALN","American Lorain Corporation","Consumer Goods","Processed & Packaged Goods","China",27.69,1.57,0.80,0.00%,127553
11,"ALTV","Alteva, Inc.","Technology","Telecom Services - Domestic","USA",47.30,,8.21,0.24%,4063
12,"AMCO","Armco Metals Holdings, Inc","Services","Basic Materials Wholesale","USA",8.15,11.33,0.34,-0.03%,156975
13,"AMPE","Ampio Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","USA",261.97,,7.15,1.27%,61157
14,"AMS","American Shared Hospital Services","Healthcare","Specialized Health Services","USA",12.35,,2.68,0.00%,0
15,"AMZG","American Eagle Energy Corporation","Basic Materials","Independent Oil & Gas","USA",108.96,,2.08,0.97%,49374
16,"ANV","Allied Nevada Gold Corp.","Basic Materials","Gold","USA",344.57,9.43,3.34,1.21%,544303
17,"API","Advanced Photonix Inc.","Technology","Semiconductor - Integrated Circuits","USA",20.90,,0.66,-0.76%,5184
18,"APP","American Apparel, Inc.","Consumer Goods","Textile - Apparel Clothing","USA",122.49,,1.09,-1.80%,194695
19,"APT","Alpha Pro Tech Ltd.","Healthcare","Medical Appliances & Equipment","Canada",38.91,40.40,2.02,0.00%,1640
20,"APTS","Preferred Apartment Communities, Inc.","Financial","REIT - Residential","USA",64.93,,7.97,0.63%,4335
21,"AQQ","American Spectrum Realty Inc.","Financial","Property Management","USA",7.06,,2.04,2.98%,1394
22,"ASM","Avino Silver & Gold Mines Ltd.","Basic Materials","Industrial Metals & Minerals","Canada",32.10,39.00,1.17,0.00%,5215
23,"ATL","Atlatsa Resources Corporation","Basic Materials","Industrial Metals & Minerals","South Africa",233.64,27.50,0.55,-0.91%,18000
24,"AUMN","Golden Minerals Company","Basic Materials","Industrial Metals & Minerals","USA",20.14,,0.47,-0.04%,27952
25,"AVL","Avalon Rare Metals Inc.","Basic Materials","Industrial Metals & Minerals","Canada",57.03,,0.56,1.93%,199827
26,"AWX","Avalon Holdings Corp.","Industrial Goods","Waste Management","USA",19.78,52.00,5.35,2.88%,804
