"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",84.77,8.84,4.03,1.26%,478
2,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",190.82,,15.34,1.32%,18200
3,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",1091.60,33.01,29.85,0.47%,22256
4,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",501799.75,14.00,545.86,-1.65%,7154303
5,"AAWW","Atlas Air Worldwide Holdings Inc.","Services","Air Services, Other","USA",947.93,8.48,37.71,-0.05%,52895
6,"AAXJ","iShares MSCI All Country Asia ex Jpn Idx","Financial","Exchange Traded Fund","USA",2006.03,,59.14,-0.35%,133487
7,"ABAX","Abaxis Inc.","Healthcare","Diagnostic Substances","USA",825.32,44.05,37.09,0.24%,8575
8,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",478.50,23.28,20.00,-0.10%,3265
9,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",83.35,,1.71,-2.84%,1450
10,"ABCO","Advisory Board Co.","Services","Business Services","USA",2269.60,98.83,62.77,-0.76%,27751
11,"ABFS","Arkansas Best Corporation","Services","Trucking","USA",855.76,,33.44,0.57%,68669
12,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",17.12,,1.54,-2.53%,164254
13,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",2.39,,0.11,0.00%,0
14,"ABMD","Abiomed Inc.","Healthcare","Medical Appliances & Equipment","USA",1037.25,188.71,26.50,0.30%,99467
15,"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",110.02,51.50,14.01,13.35%,353093
16,"ACAD","ACADIA Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",2058.59,,22.86,-0.61%,183211
17,"ACAS","American Capital, Ltd.","Financial","Asset Management","USA",4182.90,9.07,14.51,-0.62%,399033
18,"ACAT","Arctic Cat Inc.","Consumer Goods","Recreational Vehicles","USA",712.57,17.64,53.96,1.31%,25676
19,"ACCL","Accelrys Inc.","Technology","Application Software","USA",519.31,,9.37,0.43%,13069
