Ticker, Code, Name
A,GOOG/NASDAQ_A,Axcelis Technologies 
AAC,GOOG/NASDAQ_AAC,Australia Acquisition 
AACC,GOOG/NASDAQ_AACC,Asset Acceptance Capital Corp. 
AACOU,GOOG/NASDAQ_AACOU,Australia Acquisition Corp. 
AAIT,GOOG/NASDAQ_AAIT,iShares Trust 
AAME,GOOG/NASDAQ_AAME,Atlantic American Corporation 
AAON,GOOG/NASDAQ_AAON,AAON
AAPL,GOOG/NASDAQ_AAPL,Apple Inc. 
AAWW,GOOG/NASDAQ_AAWW,Atlas Air Worldwide Holdings
AAXJ,GOOG/NASDAQ_AAXJ,iShares MSCI Cntry Asa Jpn Idx Fnd ETF 
ABAX,GOOG/NASDAQ_ABAX,Abaxis Inc 
ABCB,GOOG/NASDAQ_ABCB,Ameris Bancorp 
ABCD,GOOG/NASDAQ_ABCD,Cambium Learning Group
ABCO,GOOG/NASDAQ_ABCO,The Advisory Board Company 
ABFS,GOOG/NASDAQ_ABFS,Arkansas Best Corporation 
ABIO,GOOG/NASDAQ_ABIO,Arca Biopharma Inc 
ABMD,GOOG/NASDAQ_ABMD,ABIOMED
ABTL,GOOG/NASDAQ_ABTL,Autobytel Inc. 
ABVA,GOOG/NASDAQ_ABVA,Alliance Bankshares Corp. 
ACAD,GOOG/NASDAQ_ACAD,ACADIA Pharmaceuticals Inc. 
ACAS,GOOG/NASDAQ_ACAS,American Capital Ltd. 
ACAT,GOOG/NASDAQ_ACAT,Arctic Cat Inc 
ACCL,GOOG/NASDAQ_ACCL,Accelrys
ACET,GOOG/NASDAQ_ACET,Aceto Corporation 
ACFC,GOOG/NASDAQ_ACFC,Atlantic Coast Financial Corp 
ACFN,GOOG/NASDAQ_ACFN,Acorn Energy Inc 
ACGL,GOOG/NASDAQ_ACGL,Arch Capital Group Ltd. 
ACHC,GOOG/NASDAQ_ACHC,Acadia Healthcare Company Inc 
ACHN,GOOG/NASDAQ_ACHN,Achillion Pharmaceuticals
ACIW,GOOG/NASDAQ_ACIW,ACI Worldwide Inc 
ACLS,GOOG/NASDAQ_ACLS,Axcelis Technologies Inc 
ACNB,GOOG/NASDAQ_ACNB,ACNB Corporation 
ACOM,GOOG/NASDAQ_ACOM,Ancestry.Com 
ACOR,GOOG/NASDAQ_ACOR,Acorda Therapeutics Inc 
ACPW,GOOG/NASDAQ_ACPW,Active Power
ACRX,GOOG/NASDAQ_ACRX,AcelRx Pharmaceuticals Inc 
ACST,GOOG/NASDAQ_ACST,Acasti Pharma
ACTG,GOOG/NASDAQ_ACTG,Acacia Research Corporation 
ACTS,GOOG/NASDAQ_ACTS,Actions Semiconductor Co.
ACUR,GOOG/NASDAQ_ACUR,Acura Pharmaceuticals
ACWI,GOOG/NASDAQ_ACWI,iShares MSCI ACWI Index Fund 
ACWX,GOOG/NASDAQ_ACWX,iShares MSCI ACWI ex US Index Fund 
ACXM,GOOG/NASDAQ_ACXM,Acxiom Corporation 
ADAT,GOOG/NASDAQ_ADAT,Authentidate Holding Corp. 
ADBE,GOOG/NASDAQ_ADBE,Adobe Systems Incorporated 
ADEP,GOOG/NASDAQ_ADEP,Adept Technology Inc 
ADES,GOOG/NASDAQ_ADES,ADA-ES
ADI,GOOG/NASDAQ_ADI,Analog Devices
