Ticker, Code, Name
A,GOOG/NYSE_A,Agilent Technologies Inc. 
AA,GOOG/NYSE_AA,Alcoa Inc 
AADR,GOOG/NYSE_AADR,WCM/BNY Mellon Focused Growth ADR ETF 
AAN,GOOG/NYSE_AAN,Aaron's
AAP,GOOG/NYSE_AAP,Advance Auto Parts
AAT,GOOG/NYSE_AAT,American Assets Trust
AAV,GOOG/NYSE_AAV,Advantage Oil &amp; Gas Ltd 
AAXJ,GOOG/NYSE_AAXJ,iShares MSCI All Country Asia ex Japan Index Fund 
AB,GOOG/NYSE_AB,AllianceBernstein Holding LP 
ABB,GOOG/NYSE_ABB,ABB Ltd 
ABBV,GOOG/NYSE_ABBV,AbbVie Inc 
ABC,GOOG/NYSE_ABC,AmerisourceBergen Corp. 
ABG,GOOG/NYSE_ABG,Asbury Automotive Group
ABM,GOOG/NYSE_ABM,ABM Industries
ABR,GOOG/NYSE_ABR,Arbor Realty Trust
ABR_A,GOOG/NYSE_ABR_A,Arbor Realty Trust Preferred Series A 
ABT,GOOG/NYSE_ABT,Abbott Laboratories 
ABV,GOOG/NYSE_ABV,Companhia de Bebidas das Americas 
ABV_C,GOOG/NYSE_ABV_C,Companhia de Bebidas das Americas 
ABW_A,GOOG/NYSE_ABW_A,Asbc Capital I 7.625 
ABW_B,GOOG/NYSE_ABW_B,Associated Banc-Corp Depositary Sh Repstg 1/40th Int Sh Perpetual Pfd Stk Ser B 
ABX,GOOG/NYSE_ABX,Barrick Gold Corporation 
ACC,GOOG/NYSE_ACC,American Campus Communities
ACCO,GOOG/NYSE_ACCO,ACCO Brands Corporation 
ACE,GOOG/NYSE_ACE,ACE Limited 
ACG,GOOG/NYSE_ACG,AllianceBernstein Income Fund Inc. 
ACH,GOOG/NYSE_ACH,Aluminum Corp. of China Limited 
ACI,GOOG/NYSE_ACI,Arch Coal Inc 
ACM,GOOG/NYSE_ACM,AECOM Technology Corp 
ACMP,GOOG/NYSE_ACMP,Access Midstream Partners LP 
ACN,GOOG/NYSE_ACN,Accenture Plc 
ACO,GOOG/NYSE_ACO,AMCOL International Corporation 
ACP,GOOG/NYSE_ACP,Avenue Income Credit Strategies Fund 
ACRE,GOOG/NYSE_ACRE,Ares Commercial Real Estate Corp 
ACT,GOOG/NYSE_ACT,Actavis Inc 
ACTV,GOOG/NYSE_ACTV,Active Network Inc 
ACW,GOOG/NYSE_ACW,Accuride Corporation 
ACWI,GOOG/NYSE_ACWI,iShares MSCI ACWI Index Fund 
ACWX,GOOG/NYSE_ACWX,iShares MSCI ACWI ex US Index Fund 
ADC,GOOG/NYSE_ADC,Agree Realty Corporation 
ADM,GOOG/NYSE_ADM,Archer Daniels Midland Company 
ADRA,GOOG/NYSE_ADRA,BLDRS Asia 50 ADR Index ETF 
ADRD,GOOG/NYSE_ADRD,BLDRS Developed Markets 100 ADR Index ETF 
ADRE,GOOG/NYSE_ADRE,BLDRS Emerging Markets 50 ADR Index ETF 
ADRU,GOOG/NYSE_ADRU,BLDRS Europe 100 ADR Index ETF 
ADS,GOOG/NYSE_ADS,Alliance Data Systems Corporation 
ADT,GOOG/NYSE_ADT,ADT Corp 
ADX,GOOG/NYSE_ADX,Adams Express Company 
ADY,GOOG/NYSE_ADY,Feihe International Inc 
ADZ,GOOG/NYSE_ADZ,PowerShares DB Agriculture Short ETN 
AEB,GOOG/NYSE_AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate 
AEC,GOOG/NYSE_AEC,Associated Estates Realty Corporation 
AED,GOOG/NYSE_AED,AEGON N.V. Perp. Cap. Securities 
AEE,GOOG/NYSE_AEE,Ameren Corp 
AEF,GOOG/NYSE_AEF,Aegon NV Perpetual Cap Securities 
AEG,GOOG/NYSE_AEG,AEGON N.V. 
AEH,GOOG/NYSE_AEH,AEGON N.V. Perp. Cap Secs. 
AEL,GOOG/NYSE_AEL,American Equity Investment Life Holding 
AEM,GOOG/NYSE_AEM,Agnico-Eagle Mines Limited 
AEO,GOOG/NYSE_AEO,American Eagle Outfitters 
AEP,GOOG/NYSE_AEP,American Electric Power Company
AEP_A,GOOG/NYSE_AEP_A,Aep Pfd A 
AER,GOOG/NYSE_AER,AerCap Holdings N.V. 
AES,GOOG/NYSE_AES,The AES Corporation 
AES_C,GOOG/NYSE_AES_C,AES Corporation 
AET,GOOG/NYSE_AET,Aetna Inc. 
