Symbol,Exchange,Quandl Code,Name,Session Type,Active,Terminal Point Value,Full Point Value,Currency,Contract Size,Units,Minimum Tick Value,Tick Value,Delievery Months,Start Date,Trading Times,Additional Notes
0D,CME,CME/0D,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts),Active,1,0.1,100,USD,100 metric tons,$/metric ton,1,0.1,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
6T,CME,CME/6T,In Delivery Month EUA,Active,1,10,1000,EUR,1000 tonnes,EUR/tonne,1,10,HMUZ,10/30/2013,18:00 - 17:15,
6Z,CME,CME/6Z,Tennessee 800 Basis,Active,1,0.25,2500,USD,2500 mmBTU,USD/mmBTU,25,6.25,JKUVX,3/22/2011,18:00 - 17:15,
7Q,CME,CME/7Q,Mont Belvieu Natural Gasoline (OPIS) Swap Futures-CLEAR,Active,1,0.42,42000,USD,42000 gallons,USD/gal,1,0.42,FGHJKMNQUVXZ,11/13/2009,18:00 - 17:15,
8I,CME,CME/8I,Mont Belvieu Iso-Butane (OPIS) Swap Futures-CLEAR,Active,1,0.42,42000,USD,42000 gallons,USD/gal,1,0.42,FGHJKMNQUVXZ,12/14/2009,18:00 - 17:15,
8Z,CME,CME/8Z,Southern Star Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBTU,$/mmBTU,25,6.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
AD,CME,CME/AD,Australian Dollar-CME,Active,1,10,100000,USD,AUD100000,USD/AUD,1,10,HMUZ,1/13/1987,17:00 - 16:00,OHL prices became available on July 2 1979.  These prices are the Interbank Spot prices opening at 7am  time and closing at 2:30pm central time.
AD,CME,CME/AD,Australian Dollar-CME,Active,1,10,100000,USD,AUD100000,USD/AUD,1,10,HMUZ,7/13/1992,07:20 - 14:00,
AFR,ICE,ICE/AFR,Coal Richards Bay-IPE,Active,1,50,5000,USD,5000 tonne,USD/tonne,5,250,FGHJKMNQUVXZ,4/11/2007,07:00 - 17:00,
AG,SHFE,SHFE/AG,Silver,Active,1,15,15,CNY,15 Kg,CNY/Kg,1,15,FGHJKMNQUVXZ,12/31/2012,09:00 - 15:00,
AL,SHFE,SHFE/AL,Aluminum-SHFE,Active,1,5,5,CNY,5 tonne,CNY/tonne,10,50,FGHJKMNQUVXZ,12/11/2003,09:00 - 15:00,
AP,SFE,SFE/AP,SPI 200,Active,1,2.5,25,AUD,AUD25  x Index,Points,10,25,FGHJKMNQUVXZ,6/23/2011,17:10 - 16:30,
AP,SGX,SGX/AP,MSCI Asia Apex 50 Index,Active,1,5,50,USD,50 x Index,points,5,25,FGHJKMNQUVXZ,8/27/2012,07:55 - 02:00,
AP,SGX,SGX/AP,MSCI Asia Apex 50 Index,Active,1,5,50,USD,50 x Index,points,5,25,FGHJKMNQUVXZ,8/27/2012,18:15 - 02:00,
AP,SGX,SGX/AP,MSCI Asia Apex 50 Index,Active,1,5,50,USD,50 x Index,points,5,25,FGHJKMNQUVXZ,8/27/2012,07:55 - 17:05,
AR,ICE,ICE/AR,Australian Dollar/New Zealand $-FINEX,Active,1,2,200000,NZD,AUD200000,NZD/AUD,5,10,HMUZ,5/14/1999,19:00 - 15:00,
AR,CME,CME/AR,Northwest Europe Gasoline Swap (Argus),Active,0,10,1000,USD,1000 metric tons,USD/tonne,1,10,HMUZ,3/18/2008,18:00 - 17:15,
ATW,ICE,ICE/ATW,Coal Rotterdam-IPE,Active,1,50,5000,USD,5000 tonnes,USD/tonne,5,250,FGHJKMNQUVXZ,4/11/2007,07:00 - 17:00,
AU,ICE,ICE/AU,AUD/USD  --> moved to #1693,Active,0,2,200000,USD,AUD 200K,USD,5,10,FGHJKMNQUVXZ,5/1/1997,19:00 - 15:00,
