"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",18658.47,26.84,57.17,1.42%,1317626
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",10379.00,38.80,9.78,0.88%,7973310
3,"AADR","WCM/BNY Mellon Focused Growth ADR ETF","Financial","Exchange Traded Fund","USA",,,36.56,0.74%,580
4,"AAIT","iShares MSCI AC Asia Information Tech","Financial","Exchange Traded Fund","USA",,,30.81,-3.36%,571
5,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",2203.12,16.45,28.40,-1.92%,303063
6,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",7890.14,19.58,107.43,-0.95%,308891
7,"AAT","American Assets Trust, Inc.","Financial","REIT - Office","USA",1249.06,627.40,31.67,0.96%,84112
8,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",713.94,,4.29,1.18%,5526
9,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",1956.79,15.60,21.27,0.28%,126380
10,"ABB","ABB Ltd.","Industrial Goods","Industrial Equipment & Components","Switzerland",57034.51,19.86,25.20,1.49%,484358
11,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",85271.70,18.82,53.08,-1.03%,2667436
12,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",15751.19,32.55,68.43,0.12%,342026
13,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1643.68,17.33,52.82,-1.34%,73466
14,"ABM","ABM Industries Inc.","Services","Business Services","USA",1505.63,20.00,27.50,0.36%,25190
15,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",283.69,21.23,6.53,-0.76%,18132
16,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",56811.51,20.34,37.39,2.13%,3328747
17,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",17217.20,,17.21,0.06%,4967945
18,"ACC","American Campus Communities Inc.","Financial","REIT - Residential","USA",3402.24,85.45,32.71,0.74%,141090
19,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",729.31,64.20,6.54,1.87%,121999
20,"ACCU","AdvisorShares Accuvest Global Opport ETF","Financial","Exchange Traded Fund","USA",,,27.90,0.65%,8900
21,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",33679.83,9.64,98.72,-0.08%,283364
22,"ACG","AllianceBernstein Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",1710.10,39.11,7.06,0.29%,265851
23,"ACH","Aluminum Corporation Of China Limited","Basic Materials","Aluminum","China",4560.46,,8.58,1.78%,29459
24,"ACI","Arch Coal Inc.","Basic Materials","Industrial Metals & Minerals","USA",865.41,,4.14,1.47%,2948491
25,"ACIM","SPDR MSCI ACWI IMI","Financial","Exchange Traded Fund","USA",,,64.44,-0.09%,9411
26,"ACM","AECOM Technology Corporation","Services","Technical Services","USA",2729.04,11.80,27.88,0.14%,106047
27,"ACMP","Access Midstream Partners, L.P.","Basic Materials","Oil & Gas Refining & Marketing","USA",9083.35,42.87,50.28,-1.45%,88402
28,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",47529.90,15.01,75.58,2.14%,2045490
29,"ACO","Amcol International Corp.","Basic Materials","Industrial Metals & Minerals","USA",1028.84,45.20,31.46,-0.58%,18317
30,"ACRE","Ares Commercial Real Estate Corporation","Financial","REIT - Diversified","USA",131.58,11.10,12.88,0.00%,42183
31,"ACT","Actavis plc","Healthcare","Drugs - Generic","USA",21185.42,,159.81,-0.05%,219918
32,"ACW","Accuride Corp.","Consumer Goods","Trucks & Other Vehicles","USA",170.84,,3.60,0.14%,50134
